    32ms · Update    1 · Late   26 · 애니   0 · 렌더   0 · 컬링   0 · GPU   0/  0 · 셰이더   0 · 설명안됨    5 · 야생 26(0) · GC      12KB · t=89.4s
    33ms · Update    1 · Late   27 · 애니   0 · 렌더   0 · 컬링   0 · GPU   0/  0 · 셰이더   0 · 설명안됨    5 · 야생 26(0) · GC      12KB · t=89.5s
    31ms · Update    1 · Late   25 · 애니   0 · 렌더   0 · 컬링   0 · GPU   0/  0 · 셰이더   0 · 설명안됨    5 · 야생 26(0) · GC      12KB · t=90.1s
    30ms · Update    1 · Late   26 · 애니   0 · 렌더   0 · 컬링   0 · GPU   0/  0 · 셰이더   0 · 설명안됨    4 · 야생 26(0) · GC      26KB · t=90.2s
    31ms · Update    1 · Late   26 · 애니   0 · 렌더   0 · 컬링   0 · GPU   0/  0 · 셰이더   0 · 설명안됨    4 · 야생 26(0) · GC      12KB · t=91.1s
    32ms · Update    1 · Late   27 · 애니   0 · 렌더   0 · 컬링   0 · GPU   0/  0 · 셰이더   0 · 설명안됨    4 · 야생 26(0) · GC      12KB · t=92.1s
    31ms · Update    1 · Late   26 · 애니   0 · 렌더   0 · 컬링   0 · GPU   0/  0 · 셰이더   0 · 설명안됨    4 · 야생 26(0) · GC      12KB · t=92.4s
    31ms · Update    1 · Late   24 · 애니   0 · 렌더   0 · 컬링   0 · GPU   0/  0 · 셰이더   0 · 설명안됨    6 · 야생 26(0) · GC      12KB · t=93.3s
    30ms · Update    1 · Late   26 · 애니   0 · 렌더   0 · 컬링   0 · GPU   0/  0 · 셰이더   0 · 설명안됨    4 · 야생 26(0) · GC      12KB · t=94.2s
    32ms · Update    1 · Late   27 · 애니   0 · 렌더   0 · 컬링   0 · GPU   0/  0 · 셰이더   0 · 설명안됨    4 · 야생 26(0) · GC      26KB · t=94.3s
    34ms · Update    1 · Late   29 · 애니   0 · 렌더   0 · 컬링   0 · GPU   0/  0 · 셰이더   0 · 설명안됨    5 · 야생 26(0) · GC      12KB · t=96.3s
    30ms · Update    1 · Late   25 · 애니   0 · 렌더   0 · 컬링   0 · GPU   0/  0 · 셰이더   0 · 설명안됨    4 · 야생 26(0) · GC      26KB · t=96.4s
    31ms · Update    1 · Late   24 · 애니   0 · 렌더   0 · 컬링   0 · GPU   0/  0 · 셰이더   0 · 설명안됨    5 · 야생 26(0) · GC      13KB · t=97.1s
